,title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,originCommunity,country,wikipedia.summary,wikipedia.related
10,Perl,1987,pl,10,480,2022,18,276,9,491984,13482,Unisys,United States,perl family high-level general-purpose interpreted dynamic programming languages languages family include perl 5 perl 6 though perl officially acronym various backronyms use including `` practical extraction reporting language '' perl originally developed larry wall 1987 general-purpose unix scripting language make report processing easier since undergone many changes revisions perl 6 began redesign perl 5 2000 eventually evolved separate language languages continue developed independently different development teams liberally borrow ideas one another perl languages borrow features programming languages including c shell script sh awk sed provide powerful text processing facilities without arbitrary data-length limits many contemporary unix commandline tools facilitating easy manipulation text files perl 5 gained widespread popularity late 1990s cgi scripting language part due unsurpassed regular expression string parsing abilities addition cgi perl 5 used system administration network programming finance bioinformatics applications guis nicknamed `` swiss army chainsaw scripting languages '' flexibility power also ugliness 1998 also referred `` duct tape holds internet together '' reference ubiquitous use glue language perceived inelegance,pearl c lisp pascal sed coffeescript ecmascript falcon groovy javascript julia lpc perl-6 php python ruby powershell unix bourne-shell regex unicode haskell parrot-vm dtrace json awk fortran s-expressions yacc bison sql html xs rfc jvm apl perl-data-language pod
11,MATLAB,1984,pl,11,359,2022,11,177,35,2661579,32228,University of New Mexico,United States,matlab matrix laboratory multi-paradigm numerical computing environment proprietary programming language developed mathworks matlab allows matrix manipulations plotting functions data implementation algorithms creation user interfaces interfacing programs written languages including c c++ c java fortran python although matlab intended primarily numerical computing optional toolbox uses mupad symbolic engine allowing access symbolic computing abilities additional package simulink adds graphical multi-domain simulation model-based design dynamic embedded systems 2017 matlab 2 million users across industry academia matlab users come various backgrounds engineering science economics,mathlab c java linux ia-32 apl pl-0 speakeasy julia octave scilab csharp fortran python mupad simulink r perl xml sql maple mathematica idl sagemath s perl-data-language numpy scipy matplotlib lua ruby javascript jvm hdf powerpc solaris sparc subversion json isbn
12,Ruby,1995,pl,12,359,2022,23,65,13,357730,11438,Unknown,Japan,ruby dynamic reflective object-oriented general-purpose programming language designed developed mid-1990s yukihiro `` matz '' matsumoto japan according creator ruby influenced perl smalltalk eiffel ada lisp supports multiple programming paradigms including functional object-oriented imperative also dynamic type system automatic memory management,rails c yarv jruby ada clu dylan eiffel lisp lua perl python smalltalk clojure coffeescript crystal d elixir falcon groovy ioke julia mirah nu rust swift unicode regex yaml json xml java csharp jvm llvmir javascript objective-c parrot-vm linux solaris
13,C#,2000,pl,13,319,2022,25,3,0,217261,19747,Microsoft,United States,c pronounced see sharp multi-paradigm programming language encompassing strong typing imperative declarative functional generic object-oriented class-based component-oriented programming disciplines developed microsoft within .net initiative later approved standard ecma ecma-334 iso iso/iec 23270:2006 c one programming languages designed common language infrastructure c general-purpose object-oriented programming language development team led anders hejlsberg recent version c 11 released 2022 along .net 7 language actively developed new version released yearly along latest .net version unity game engine uses c primary scripting language,spec-sharp eiffel java modula-3 object-pascal ml visual-basic icon haskell rust jsharp f-sharp chapel crystal d dart hack kotlin monkey nemerle oxygene swift vala unity-engine c turbo-pascal smalltalk linq a-sharp ada cil fortran visual-studio-editor morfik
14,Android,2008,os,14,53,2022,1,2,0,975958,9263,Android Inc. && Google,United States,android mobile operating system developed google based modified version linux kernel open source software designed primarily touchscreen mobile devices smartphones tablets addition google developed android tv televisions android auto cars wear os wrist watches specialized user interface variants android also used game consoles digital cameras pcs electronics initially developed android inc. google bought 2005 android unveiled 2007 first commercial android device launched september 2008 operating system since gone multiple major releases current version 9.0 `` pie '' released august 2018 core android source code known android open source project aosp primarily licensed apache license android also associated suite proprietary software developed google called google mobile services gms frequently comes pre-installed devices usually includes google chrome web browser google search always includes core apps services gmail well application store digital distribution platform google play associated development platform apps licensed manufacturers android devices certified standards imposed google aosp used basis competing android ecosystems amazon.com 's fire os use equivalents gms android best-selling os worldwide smartphones since 2011 tablets since 2013 may 2017 two billion monthly active users largest installed base operating system june 2018 google play store features 3.3 million apps,java c arm x86-isa linux go kotlin eclipse-editor mips ios java-bytecode
15,MySQL,1995,queryLanguage,15,267,2022,9,168,16,2608362,47466,Oracle,Unknown,mysql officially pronounced `` s-q-l '' open-source relational database management system rdbms name combination `` '' name co-founder michael widenius 's daughter `` sql '' abbreviation structured query language mysql development project made source code available terms gnu general public license well variety proprietary agreements mysql owned sponsored single for-profit firm swedish company mysql ab owned oracle corporation proprietary use several paid editions available offer additional functionality mysql central component lamp open-source web application software stack `` amp '' stacks lamp acronym `` linux apache mysql perl/php/python '' applications use mysql database include typo3 modx joomla wordpress phpbb mybb drupal mysql also used many high-profile large-scale websites including google though searches facebook twitter flickr youtube,c linux solaris freebsd sql perl php python wordpress mybb drupal yacc mariadb sql-psm unicode csv postgresql csharp visual-basic asp utf-8
16,Fortran,1957,pl,16,586,2022,13,321,37,165151,1931,IBM,United States,fortran formerly fortran derived formula translation general-purpose imperative programming language especially suited numeric computation scientific computing originally developed ibm 1950s scientific engineering applications fortran came dominate area programming early continuous use half century computationally intensive areas numerical weather prediction finite element analysis computational fluid dynamics computational physics crystallography computational chemistry popular language high-performance computing used programs benchmark rank world 's fastest supercomputers fortran encompasses lineage versions evolved add extensions language usually retaining compatibility prior versions successive versions added support structured programming processing character-based data fortran 77 array programming modular programming generic programming fortran 90 high performance fortran fortran 95 object-oriented programming fortran 2003 concurrent programming fortran 2008,speedcoding algol-58 basic c chapel cms-2 pl-i pact-i mumps ratfor assembly-language laning-and-zierler-system 1620sps ucsd-pascal watfiv ascii modula-2 ada mortran ratfiv jcl simscript f
17,CSS,1996,stylesheetLanguage,17,261,2018,8,102,2,2881846,45617,Conseil Europ¨¦en pour la Recherche Nucl¨¦aire,Switzerland,cascading style sheets css style sheet language used describing presentation document written markup language although often used set visual style web pages user interfaces written html xhtml language applied xml document including plain xml svg xul applicable rendering speech media along html javascript css cornerstone technology used websites create visually engaging webpages user interfaces web applications user interfaces many mobile applications css designed primarily enable separation presentation content including aspects layout colors fonts separation improve content accessibility provide flexibility control specification presentation characteristics enable multiple html pages share formatting specifying relevant css separate .css file reduce complexity repetition structural content separation formatting content makes possible present markup page different styles different rendering methods on-screen print voice via speech-based browser screen reader braille-based tactile devices also display web page differently depending screen size viewing device readers also specify different style sheet css file stored computer override one author specified changes graphic design document hundreds documents applied quickly easily editing lines css file use rather changing markup documents css specification describes priority scheme determine style rules apply one rule matches particular element so-called cascade priorities weights calculated assigned rules results predictable css specifications maintained world wide web consortium w3c internet media type mime type text/css registered use css rfc 2318 march 1998 w3c operates free css validation service css documents,html javascript webgl xml svg xpath
18,R,1993,pl,18,229,2022,11,40,9,1075613,14173,University of Auckland,United States,r open source programming language software environment statistical computing graphics supported r foundation statistical computing r language widely used among statisticians data miners developing statistical software data analysis polls surveys data miners studies scholarly literature databases show r 's popularity increased substantially recent years r gnu package source code r software environment written primarily c fortran r. r freely available gnu general public license pre-compiled binary versions provided various operating systems r command line interface several graphical front-ends available,common-lisp s scheme julia c fortran java python latex apl matlab octave knitr sweave utf-8 rstudio-editor eclipse-editor emacs-editor lyx-editor perl ruby f-sharp spss stata mathematica
19,JSON,2001,dataNotation,19,127,2022,9,17,10,355741,9228,State Software,United States,computing javascript object notation json jay-s n open-standard file format uses human-readable text transmit data objects consisting attribute¨cvalue pairs array data types serializable value common data format used asynchronous browser¨cserver communication including replacement xml ajax-style systems json language-independent data format derived javascript 2017 many programming languages include code generate parse json-format data official internet media type json application/json json filenames use extension .json douglas crockford originally specified json format early 2000s two competing standards rfc 7159 ecma-404 defined 2013 ecma standard describes allowed syntax whereas rfc covers security interoperability considerations restricted profile json known i-json short `` internet json '' seeks overcome interoperability problems json defined rfc 7493 ..,javascript xml java http unicode utf-8 ecmascript soap yaml csv protobuf gzip xpath css hocon s-expressions geojson
20,iOS,2007,os,20,35,2018,0,9,0,535588,5010,Apple,United States,ios formerly iphone os mobile operating system created developed apple inc. exclusively hardware operating system presently powers many company 's mobile devices including iphone ipad ipod touch second popular mobile operating system globally android originally unveiled 2007 iphone ios extended support apple devices ipod touch september 2007 ipad january 2010 march 2018 apple 's app store contains 2.1 million ios applications 1 million native ipads mobile apps collectively downloaded 130 billion times ios user interface based upon direct manipulation using multi-touch gestures interface control elements consist sliders switches buttons interaction os includes gestures swipe tap pinch reverse pinch specific definitions within context ios operating system multi-touch interface internal accelerometers used applications respond shaking device one common result undo command rotating three dimensions one common result switching portrait landscape mode apple significantly praised incorporating thorough accessibility functions ios enabling users vision hearing disabilities properly use products major versions ios released annually current version ios 12 released september 17 2018 available ios devices 64-bit processors iphone 5s later iphone models ipad 2017 ipad air later ipad air models ipad pro models ipad mini 2 later ipad mini models sixth-generation ipod touch recent ios devices ios regularly checks availability update one available prompt user permit automatic installation,c objective-c swift android arm tls
21,Go,2009,pl,21,329,2022,20,5,26,525179,6403,Google,Unknown,go often referred golang programming language created google 2009 robert griesemer rob pike ken thompson compiled statically typed language tradition algol c garbage collection limited structural typing memory safety features csp-style concurrent programming features added compiler language tools originally developed google free open source,assembly-language linux freebsd solaris alef apl bcpl c csp limbo modula newsqueak oberon occam pascal python smalltalk crystal algol unix java utf-8 csharp rust erlang chapel cilk mongodb standard-ml cobol fortran scala dart
22,Scala,2004,pl,22,390,2022,12,130,26,139471,4525,¨¦cole Polytechnique F¨¦d¨¦rale de Lausanne,Switzerland,scala skah-lah general-purpose programming language providing support functional programming strong static type system designed concise many scala 's design decisions aimed address criticisms java scala source code intended compiled java bytecode resulting executable code runs java virtual machine scala provides language interoperability java libraries written languages may referenced directly scala java code like java scala object-oriented uses curly-brace syntax reminiscent c programming language unlike java scala many features functional programming languages like scheme standard ml haskell including currying type inference immutability lazy evaluation pattern matching also advanced type system supporting algebraic data types covariance contravariance higher-order types higher-rank types anonymous types features scala present java include operator overloading optional parameters named parameters raw strings conversely feature java scala checked exceptions proved controversial name scala portmanteau scalable language signifying designed grow demands users,jvm javascript llvmir eiffel erlang haskell java lisp pizza standard-ml ocaml scheme smalltalk oz ceylon fantom f-sharp kotlin lasso red java-bytecode c android pascal csharp python ml csp groovy clojure php ruby
23,Swift,2014,pl,23,354,2022,17,125,19,362590,3754,Apple,Unknown,swift general-purpose multi-paradigm compiled programming language developed apple inc. ios macos watchos tvos linux swift designed work apple 's cocoa cocoa touch frameworks large body existing objective-c objc code written apple products built open source llvm compiler framework included xcode since version 6 platforms linux uses objective-c runtime library allows c objective-c c++ swift code run within one program apple intended swift support many core concepts associated objective-c notably dynamic dispatch widespread late binding extensible programming similar features `` safer '' easier catch software bugs swift features addressing common programming errors like null pointers provides syntactic sugar help avoid pyramid doom swift supports concept protocol extensibility extensibility system applied types structs classes apple promotes real change programming paradigms term `` protocol-oriented programming '' similar traits swift introduced apple 's 2014 worldwide developers conference wwdc underwent upgrade version 1.2 2014 major upgrade swift 2 wwdc 2015 initially proprietary language version 2.2 made open-source software apache license 2.0 december 3 2015 apple 's platforms linux march 2017 swift made top 10 monthly tiobe index ranking popular programming languages since slipped list 20,linux freebsd csharp clu d haskell objective-c python ruby rust ios llvmir c smalltalk java unicode android kotlin
24,Ada,1980,pl,24,410,2022,13,64,50,12116,2184,CII Honeywell Bull,United States,ada structured statically typed imperative wide-spectrum object-oriented high-level computer programming language extended pascal languages built-in language support design-by-contract extremely strong typing explicit concurrency offering tasks synchronous message passing protected objects non-determinism ada improves code safety maintainability using compiler find errors favor runtime errors ada international standard current version known ada 2012 defined iso/iec 8652:2012 ada originally designed team led jean ichbiah cii honeywell bull contract united states department defense dod 1977 1983 supersede 450 programming languages used dod time ada named ada lovelace 1815¨c1852 credited first computer programmer,spark ravenscar-profile algol-68 pascal smalltalk java eiffel chapel nim pl-sql plpgsql ruby rust seed7 sql-psm vhdl unicode lisp setl algol algol-60 apse
25,COBOL,1959,pl,25,471,2022,6,301,20,187188,2616,Conference/Committee on Data Systems Languages,United States,cobol acronym common business-oriented language compiled english-like computer programming language designed business use imperative procedural since 2002 object-oriented cobol primarily used business finance administrative systems companies governments cobol still widely used legacy applications deployed mainframe computers large-scale batch transaction processing jobs due declining popularity retirement experienced cobol programmers programs migrated new platforms rewritten modern languages replaced software packages programming cobol purely maintain existing applications cobol designed 1959 codasyl partly based previous programming language design work grace hopper commonly referred `` grand mother cobol '' created part us department defense effort create portable programming language data processing intended stopgap department defense promptly forced computer manufacturers provide resulting widespread adoption standardized 1968 since revised four times expansions include support structured object-oriented programming current standard iso/iec 1989:2014 cobol english-like syntax designed self-documenting highly readable however verbose uses 300 reserved words contrast modern succinct syntax like x cobol english-like syntax case move x cobol code split four divisions identification environment data procedure containing rigid hierarchy sections paragraphs sentences lacking large standard library standard specifies 43 statements 87 functions one class academic computer scientists generally uninterested business applications cobol created involved design effectively designed ground computer language business emphasis inputs outputs whose data types numbers strings text cobol criticized throughout life however verbosity design process poor support structured programming resulted monolithic incomprehensible programs,comtran eiffel flow-matic smalltalk pl-i plb algol-58 fact algol unicode xml unix visual-basic.net utf-8 jcl pascal
26,Rust,2010,pl,26,351,2023,14,65,36,302193,141,Mozilla,Unknown,rust systems programming language sponsored mozilla research describes `` safe concurrent practical language '' supporting functional imperative-procedural paradigms rust syntactically similar c++ designers intend provide better memory safety maintaining performance rust open source programming language designers refined language experiences writing servo web browser layout engine rust compiler large portion current commits project community members rust first place `` loved programming language '' stack overflow developer survey 2016 2017 referenced book mozilla `` oxidised metal '',linux freebsd android ios alef csharp cyclone erlang haskell haxe limbo newsqueak ruby scheme standard-ml swift crystal elm idris c ml go java ocaml llvmir d nim emacs-editor
27,PostgreSQL,1986,queryLanguage,27,130,2022,5,40,3,340751,13084,University of California,United States,postgresql often simply postgres object-relational database management system ordbms emphasis extensibility standards compliance database server primary functions store data securely return data response requests software applications handle workloads ranging small single-machine applications large internet-facing applications data warehousing many concurrent users macos server postgresql default database also available microsoft windows linux supplied distributions postgresql acid-compliant transactional postgresql updatable views materialized views triggers foreign keys supports functions stored procedures expandability postgresql developed postgresql global development group diverse group many companies individual contributors free open-source released terms postgresql license permissive software license,c linux sql gist xml xpath json julia go r d erlang plpgsql pl-sql sql-psm perl python tcl java javascript ruby regex tls freebsd solaris x86-isa powerpc systemz sparc arm mips visual-basic mysql aws
28,Kotlin,2011,pl,28,367,2023,12,99,16,130094,5276,JetBrains,Unknown,kotlin statically-typed programming language runs java virtual machine also compiled javascript source code use llvm compiler infrastructure primary development team jetbrains programmers based saint petersburg russia syntax compatible java kotlin designed interoperate java code reliant java code existing java class library collections framework android studio 3.0 beta version kotlin fully supported programming language android lets user choose targeting java 6- java 8-compatible bytecode,jvm java-bytecode javascript java scala groovy csharp gosu swift llvmir android pascal perl eclipse-editor maven-pom emacs-editor
29,Arduino Programming Language,2005,pl,29,362,2022,3,265,28,527398,598,Arduino,Italy,arduino open-source hardware software company project user community designs manufactures single-board microcontrollers microcontroller kits building digital devices interactive objects sense control objects physical digital world products licensed gnu lesser general public license lgpl gnu general public license gpl permitting manufacture arduino boards software distribution anyone arduino boards available commercially preassembled form do-it-yourself diy kits arduino board designs use variety microprocessors controllers boards equipped sets digital analog input/output i/o pins may interfaced various expansion boards breadboards shields circuits boards feature serial communications interfaces including universal serial bus usb models also used loading programs personal computers microcontrollers typically programmed using dialect features programming languages c c++ addition using traditional compiler toolchains arduino project provides integrated development environment ide based processing language project arduino project started 2003 program students interaction design institute ivrea ivrea italy aiming provide low-cost easy way novices professionals create devices interact environment using sensors actuators common examples devices intended beginner hobbyists include simple robots thermostats motion detectors name arduino comes bar ivrea italy founders project used meet bar named arduin ivrea margrave march ivrea king italy 1002 1014,atmel-avr x86-isa c processing basic-stamp arm java linux ia-32
30,PowerShell,2006,pl,30,270,2022,7,107,3,208708,19576,Microsoft,Unknown,powershell task automation configuration management framework microsoft consisting command-line shell associated scripting language initially windows component known windows powershell made open-source cross-platform 18 august 2016 introduction powershell core former built .net framework latter .net core powershell administrative tasks generally performed cmdlets pronounced command-lets specialized .net classes implementing particular operation work accessing data different data stores like file system registry made available powershell via providers third-party developers develop cmdlets add powershell sets cmdlets may combined scripts powershell provides full access com wmi enabling administrators perform administrative tasks local remote windows systems well ws-management cim enabling management remote linux systems network devices powershell also provides hosting api powershell runtime embedded inside applications applications use powershell functionality implement certain operations including exposed via graphical interface capability used microsoft exchange server 2007 expose management functionality powershell cmdlets providers implement graphical management tools powershell hosts invoke necessary cmdlets microsoft applications including microsoft sql server 2008 also expose management interface via powershell cmdlets powershell includes extensive console-based help similar man pages unix shells accessible via get-help cmdlet local help contents retrieved internet via update-help cmdlet alternatively help web acquired case-by-case basis via -online switch get-help,perl csharp digital-command-language sql tcl puppet jscript vbscript linux ascii awk grep sed xml cli-assembly ooxml bash
31,Pascal,1970,pl,31,364,2022,10,145,21,7708,102,ETH Z¨¹rich,Switzerland,pascal imperative procedural programming language niklaus wirth designed 1968¨c69 published 1970 small efficient language intended encourage good programming practices using structured programming data structuring named honor french mathematician philosopher physicist blaise pascal pascal developed pattern algol 60 language wirth already developed several improvements language part algol x proposals accepted pascal developed separately released 1970 derivative known object pascal designed object-oriented programming developed 1985 used apple computer borland late 1980s later developed delphi microsoft windows platform extensions pascal concepts led pascal-like languages modula-2 oberon,delphi free-pascal turbo-pascal ucsd-pascal algol-w ada go java modula modula-2 modula-3 oberon object-pascal oxygene seed7 algol-60 euler lisp algol-68 assembly-language tex simula fortran watcom c x86-isa ip-pascal csharp algol pl-i ios android unicode linux freebsd
